vehicle_type,fuel_and_load,euro_standard,CO2,CH4,N2O,CO2eq,CO2-upstream,CH4-upstream,N2O-upstream,CO2eq-upstream,CO2-combustion,CH4-combustion,N2O-combustion,CO2eq-combustion
Lako teretno vozilo,Benzin <=3.5 t,Konvencionalno,0.318621,0.000125,0.000008,0.32439,0.00084,0.000015,0.0000000147,0.0013,0.229181,0.00011,0.000008,0.23449
Lako teretno vozilo,Benzin <=3.5 t,EURO 1 i 2 i 3,0.254269,0.000038,0.000005,0.256858,0.000602,0.0000109,0.0000000105,0.000931,0.165067,0.000027,0.000005,0.167327
Lako teretno vozilo,Benzin <=3.5 t,EURO 4 i 5,0.264548,0.000028,0.000002,0.265836,0.000639,0.0000116,0.0000000112,0.000989,0.175309,0.000016,0.000002,0.176247
Lako teretno vozilo,Benzin <=3.5 t,EURO 6,0.266614,0.000028,0.000001,0.267859,0.000647,0.0000117,0.0000000113,0.001001,0.177366,0.000017,0.000001,0.178258
Lako teretno vozilo,Dizel <=3.5 t,Konvencionalno,0.27514,0.000026,0,0.275925,0.000668,0.0000114,0.00000000713,0.001013,0.185872,0.000015,0,0.186311
Lako teretno vozilo,Dizel <=3.5 t,EURO 1 i 2 i 3,0.255164,0.000013,0.000006,0.257178,0.000597,0.0000102,0.00000000637,0.000905,0.165968,0.000003,0.000006,0.167674
Lako teretno vozilo,Dizel <=3.5 t,EURO 4 i 5,0.253912,0.000010,0.000007,0.256137,0.000592,0.0000101,0.00000000632,0.000898,0.164720,0,0.000007,0.166639
Lako teretno vozilo,Dizel <=3.5 t,EURO 6,0.253589,0.000010,0.000006,0.255394,0.000591,0.0000101,0.00000000631,0.000896,0.164399,0,0.000006,0.165898
Teško teretno vozilo,Benzin,Konvencionalno,0.51994,0.000148,0.000006,0.526024,0.001829,0.0000331,0.000000032,0.002829,0.500911,0.000115,0.000006,0.505994
Teško teretno vozilo,Dizel- kruto  <=7.5 t,Konvencionalno,0.405477,0.000066,0.000031,0.415601,0.001391,0.0000238,0.0000000148,0.002109,0.386886,0.000042,0.000031,0.396292
Teško teretno vozilo,Dizel- kruto  <=7.5 t,EURO 1 i 2 i 3,0.317463,0.000049,0.000004,0.319941,0.001062,0.0000192,0.0000000186,0.001643,0.299200,0.000030,0.000004,0.301098
Teško teretno vozilo,Dizel- kruto  <=7.5 t,EURO 4 i 5,0.312010,0.000020,0.000011,0.315537,0.001056,0.0000181,0.0000000113,0.001601,0.293755,0.000002,0.000011,0.296736
Teško teretno vozilo,Dizel- kruto  <=7.5 t,EURO 6,0.320053,0.000021,0.000018,0.325496,0.001071,0.0000194,0.0000000187,0.001657,0.301782,0.000002,0.000018,0.306639
Teško teretno vozilo,Dizel- kruto 7.5 - 20 t,Konvencionalno,0.595441,0.000084,0.000031,0.606107,0.002071,0.0000355,0.0000000221,0.003141,0.576170,0.000048,0.000031,0.585767
Teško teretno vozilo,Dizel- kruto 7.5 - 20 t,EURO 1 i 2 i 3,0.518517,0.000071,0.000005,0.521952,0.001774,0.0000321,0.000000031,0.002744,0.499543,0.000039,0.000005,0.502008
Teško teretno vozilo,Dizel- kruto 7.5 - 20 t,EURO 4 i 5,0.491073,0.000031,0.000014,0.495683,0.001697,0.000029,0.0000000181,0.002573,0.472176,0.000002,0.000014,0.475910
Teško teretno vozilo,Dizel- kruto 7.5 - 20 t,EURO 6,0.480969,0.000032,0.000021,0.487394,0.001641,0.0000297,0.0000000287,0.002538,0.462129,0.000002,0.000021,0.467656
Teško teretno vozilo,Dizel- kruto 21 - 32 t,Konvencionalno,0.989532,0.000173,0.000032,1.003105,0.003483,0.0000596,0.0000000372,0.005282,0.968848,0.000113,0.000032,0.980623
Teško teretno vozilo,Dizel- kruto 21 - 32 t,EURO 1 i 2 i 3,0.817751,0.000134,0.000007,0.82373,0.002832,0.0000512,0.0000000495,0.004382,0.797718,0.000083,0.000007,0.802148
