sub_sector,fuel_group,fuel_type,type_of_energy_source,CO2,CH4,N2O,CO2eq,CO2-upstream,CH4-upstream,N2O-upstream,CO2eq-upstream,CO2-combustion,CH4-combustion,N2O-combustion,CO2eq-combustion,CO2biog-combustion
fossil fuels,Kruta goriva,Lignit,Nepokretni,371.396972,0.897151,0.005555,399.783596,7.796972,0.893551,0.000155,34.644596,363.600000,0.003600,0.005400,365.139000,0.0
fossil fuels,Kruta goriva,Lignit,Nepokretni,103.165825,0.249209,0.001543,111.050999,2.165825,0.248209,0.000043,9.623499,101.000000,0.001000,0.001500,101.427500,0.0
fossil fuels,Kruta goriva,Mrki ugljen,Nepokretni,353.156060,0.553392,0.005543,371.226750,7.196060,0.549792,0.000143,23.727750,345.960000,0.003600,0.005400,347.499000,0.0
fossil fuels,Kruta goriva,Mrki ugljen,Nepokretni,98.098906,0.153720,0.001540,103.118542,1.998906,0.152720,0.000040,6.591042,96.100000,0.001000,0.001500,96.527500,0.0
fossil fuels,Kruta goriva,Kameni ugljen,Nepokretni,362.736128,0.130161,0.005435,368.081320,22.176128,0.126561,0.000035,25.982320,340.560000,0.003600,0.005400,342.099000,0.0
fossil fuels,Kruta goriva,Kameni ugljen,Nepokretni,100.760035,0.036156,0.001510,102.244811,6.160035,0.035156,0.000010,7.217311,94.600000,0.001000,0.001500,95.027500,0.0
fossil fuels,Tekuća goriva,Loživo ulje,Nepokretni,299.740543,0.395693,0.002382,312.242628,21.100543,0.384893,0.000222,32.706228,278.640000,0.010800,0.002160,279.536400,0.0
fossil fuels,Tekuća goriva,Loživo ulje,Nepokretni,83.261262,0.109915,0.000662,86.734063,5.861262,0.106915,0.000062,9.085063,77.400000,0.003000,0.000600,77.649000,0.0
fossil fuels,Tekuća goriva,Ekstralako loživo ulje,Nepokretni,288.268705,0.395682,0.002387,300.771800,21.508705,0.384882,0.000227,33.115400,266.760000,0.010800,0.002160,267.656400,0.0
fossil fuels,Tekuća goriva,Ekstralako loživo ulje,Nepokretni,80.074640,0.109912,0.000663,83.547722,5.974640,0.106912,0.000063,9.198722,74.100000,0.003000,0.000600,74.349000,0.0
fossil fuels,Tekuća goriva,Ukapljeni naftni plin,Nepokretni,254.742517,0.388707,0.000715,266.593260,27.582517,0.385107,0.000355,39.229860,227.160000,0.003600,0.000360,227.363400,0.0
fossil fuels,Tekuća goriva,Ukapljeni naftni plin,Nepokretni,70.761810,0.107974,0.000199,74.053683,7.661810,0.106974,0.000099,10.897183,63.100000,0.001000,0.000100,63.156500,0.0
fossil fuels,Tekuća goriva,Dizelsko gorivo,Pokretni,289.262665,0.399216,0.014280,305.023401,22.502665,0.385176,0.000240,34.121601,266.760000,0.014040,0.014040,270.901800,0.0
fossil fuels,Tekuća goriva,Dizelsko gorivo,Pokretni,80.350740,0.110893,0.003967,84.728723,6.250740,0.106993,0.000067,9.478223,74.100000,0.003900,0.003900,75.250500,0.0
