energy_type,location,sub_sector,technology,CO2,CH4,N2O,CO2eq,CO2-upstream,CH4-upstream,N2O-upstream,CO2eq-upstream,CO2-combustion,CH4-combustion,N2O-combustion,CO2eq-combustion
Toplina,Zagreb,Public boiler houses,,302.714828,0.006486,0.000849,303.134522,38.541083,0.000917,0.000139,38.605337,264.173745,0.005570,0.000711,264.529185
Toplina,Zagreb,Public boiler houses,,84.087452,0.001802,0.000236,84.204034,10.705856,0.000255,0.000039,10.723705,73.381596,0.001547,0.000197,73.480329
Toplina,Osijek,Public boiler houses,,264.521543,0.004780,0.000495,264.796224,40.770869,0.000791,0.000097,40.820204,223.750674,0.003988,0.000399,223.976020
Toplina,Osijek,Public boiler houses,,73.478206,0.001328,0.000138,73.554507,11.325241,0.000220,0.000027,11.338945,62.152965,0.001108,0.000111,62.215561
Toplina,Rijeka,Public boiler houses,,337.242837,0.008177,0.001224,337.812406,72.899275,0.001850,0.000292,73.032267,264.343562,0.006327,0.000931,264.780138
Toplina,Rijeka,Public boiler houses,,93.678566,0.002271,0.000340,93.836779,20.249799,0.000514,0.000081,20.286741,73.428767,0.001757,0.000259,73.550038
Toplina,Slavonski Brod,Public boiler houses,,259.594218,0.004692,0.000487,259.863936,33.109242,0.000655,0.000083,33.150860,226.484976,0.004037,0.000404,226.713076
Toplina,Slavonski Brod,Public boiler houses,,72.109505,0.001303,0.000135,72.184427,9.197012,0.000182,0.000023,9.208572,62.912493,0.001121,0.000112,62.975854
Toplina,Karlovac,Public boiler houses,,285.986229,0.005586,0.000654,286.327240,57.476183,0.001184,0.000153,57.552347,228.510047,0.004402,0.000501,228.774893
Toplina,Karlovac,Public boiler houses,,79.440619,0.001552,0.000182,79.535345,15.965606,0.000329,0.000043,15.986763,63.475013,0.001223,0.000139,63.548581
Toplina,Varaždin,Public boiler houses,,343.812843,0.006193,0.000637,344.167380,54.185840,0.001030,0.000121,54.248685,289.627003,0.005163,0.000516,289.918695
Toplina,Varaždin,Public boiler houses,,95.503567,0.001720,0.000177,95.602050,15.051622,0.000286,0.000033,15.069079,80.451945,0.001434,0.000143,80.532971
Toplina,Vinkovci,Public boiler houses,,321.199474,0.008777,0.001448,321.846529,30.458911,0.000933,0.000171,30.532250,290.740564,0.007843,0.001277,291.314279
Toplina,Vinkovci,Public boiler houses,,89.222076,0.002438,0.000402,89.401814,8.460809,0.000259,0.000048,8.481181,80.761268,0.002179,0.000355,80.920633
Toplina,Vukovar,Public boiler houses,,255.057110,0.004781,0.000526,255.339933,27.361960,0.000578,0.000080,27.400459,227.695149,0.004203,0.000446,227.939473
Toplina,Vukovar,Public boiler houses,,70.849197,0.001328,0.000146,70.927759,7.600545,0.000161,0.000022,7.611239,63.248653,0.001167,0.000124,63.316520
Toplina,Prosjek za Hrvatsku,Public boiler houses,,300.518077,0.006402,0.000835,300.931527,46.108465,0.001064,0.000156,46.181791,254.409612,0.005337,0.000679,254.749735
