godina;Datum;Volume;JedMj;Lokacija;Energija
2024;2024-01-01;0.58846095;m3;Lokacija-3635;Water
2024;2024-01-01;0.80769150;m3;Lokacija-549;Water
2024;2024-01-01;0.94230675;m3;Lokacija-1932;Water
2024;2024-01-01;0.94230675;m3;Lokacija-48;Water
2024;2024-01-01;0.98076825;m3;Lokacija-3588;Water
2024;2024-01-01;1.00384515;m3;Lokacija-4246;Water
2024;2024-01-01;1.02307590;m3;Lokacija-2982;Water
2024;2024-01-01;1.02307590;m3;Lokacija-395;Water
2024;2024-01-01;1.05549306;spremnik (1100 l);Lokacija-1508;Garbage
2024;2024-01-01;1.05549306;spremnik (1100 l);Lokacija-2319;Garbage
2024;2024-01-01;1.05549306;spremnik (1100 l);Lokacija-3308;Garbage
2024;2024-01-01;1.05549306;spremnik (1100 l);Lokacija-978;Garbage
2024;2024-01-01;1.05549306;spremnik (1100 l);Lokacija-3170;Garbage
2024;2024-01-01;1.05549306;spremnik (1100 l);Lokacija-4536;Garbage
2024;2024-01-01;1.14999885;m3;Lokacija-1100;Water
2024;2024-01-01;1.20769110;m3;Lokacija-1013;Water
2024;2024-01-01;1.20989925;spremnik (1100 l);Lokacija-3363;Garbage
2024;2024-01-01;1.33846020;m3;Lokacija-2035;Water
2024;2024-01-01;1.37582829;spremnik (1100 l);Lokacija-1361;Garbage
2024;2024-01-01;1.37582829;spremnik (1100 l);Lokacija-2297;Garbage
2024;2024-01-01;1.46153700;m3;Lokacija-1247;Water
2024;2024-01-01;1.46153700;m3;Lokacija-3733;Water
2024;2024-01-01;1.48461390;m3;Lokacija-3979;Water
2024;2024-01-01;1.52307540;m3;Lokacija-22;Water
2024;2024-01-01;1.53023448;spremnik (1100 l);Lokacija-872;Garbage
2024;2024-01-01;1.59999840;m3;Lokacija-4090;Water
2024;2024-01-01;1.62011271;spremnik (1100 l);Lokacija-97;Garbage
2024;2024-01-01;1.63076760;m3;Lokacija-3177;Water
2024;2024-01-01;1.66153680;m3;Lokacija-657;Water
2024;2024-01-01;1.72612293;spremnik (1100 l);Lokacija-276;Garbage
2024;2024-01-01;1.81139202;spremnik (1100 l);Lokacija-3896;Garbage
2024;2024-01-01;1.82982858;spremnik (1100 l);Lokacija-715;Garbage
2024;2024-01-01;1.83443772;spremnik (1100 l);Lokacija-2309;Garbage
2024;2024-01-01;1.83443772;spremnik (1100 l);Lokacija-2679;Garbage
2024;2024-01-01;1.84365600;spremnik (1100 l);Lokacija-2187;Garbage
2024;2024-01-01;1.89615195;m3;Lokacija-810;Water
2024;2024-01-01;1.89666111;spremnik (1100 l);Lokacija-1085;Garbage
