vehicle_type,fuel,vehicle_class,euro_standard,CO2,CH4,N2O,CO2eq,CO2-upstream,CH4-upstream,N2O-upstream,CO2eq-upstream,CO2-combustion,CH4-combustion,N2O-combustion,CO2eq-combustion
Osobno vozilo,Benzin,Mini klasa vozila,EURO 4,0.183780,0.000028,0.000002,0.185130,0.000549,0.00000993,0.00000000960,0.000849,0.150230,0.000018,0.000002,0.151281
Osobno vozilo,Benzin,Mini klasa vozila,EURO 5,0.183509,0.000028,0.000001,0.184729,0.000548,0.00000991,0.00000000958,0.000848,0.149961,0.000018,0.000001,0.150881
Osobno vozilo,Benzin,Mini klasa vozila,EURO 6,0.177531,0.000027,0.000001,0.178700,0.000527,0.00000953,0.00000000922,0.000815,0.144004,0.000017,0.000001,0.144885
Osobno vozilo,Benzin,Mala klasa vozila,PRE ECE do ECE 15/04,0.217872,0.000126,0.000008,0.223777,0.000677,0.0000122,0.0000000118,0.001047,0.184196,0.000113,0.000008,0.189730
Osobno vozilo,Benzin,Mala klasa vozila,EURO 1 i 2 i 3,0.205774,0.000039,0.000005,0.208273,0.000629,0.0000114,0.0000000110,0.000973,0.172145,0.000028,0.000005,0.174299
Osobno vozilo,Benzin,Mala klasa vozila,EURO 4,0.213213,0.000030,0.000002,0.214619,0.000656,0.0000119,0.0000000115,0.001015,0.179557,0.000018,0.000002,0.180604
Osobno vozilo,Benzin,Mala klasa vozila,EURO 5,0.213062,0.000030,0.000001,0.214339,0.000656,0.0000119,0.0000000115,0.001014,0.179407,0.000018,0.000001,0.180324
Osobno vozilo,Benzin,Mala klasa vozila,EURO 6,0.209812,0.000029,0.000001,0.211065,0.000644,0.0000116,0.0000000113,0.000996,0.176168,0.000018,0.000001,0.177068
Osobno vozilo,Benzin,Srednja klasa vozila,PRE ECE do ECE 15/04,0.257160,0.000127,0.000008,0.263112,0.000794,0.0000143,0.0000000139,0.001228,0.216033,0.000113,0.000008,0.221551
Osobno vozilo,Benzin,Srednja klasa vozila,EURO 1 i 2 i 3,0.244475,0.000042,0.000007,0.247452,0.000742,0.0000134,0.0000000130,0.001148,0.203400,0.000028,0.000007,0.205971
Osobno vozilo,Benzin,Srednja klasa vozila,EURO 4,0.253834,0.000032,0.000002,0.255305,0.000776,0.0000140,0.0000000136,0.001201,0.212725,0.000018,0.000002,0.213771
Osobno vozilo,Benzin,Srednja klasa vozila,EURO 5,0.253785,0.000032,0.000001,0.255126,0.000776,0.0000140,0.0000000136,0.001200,0.212676,0.000018,0.000001,0.213592
Osobno vozilo,Benzin,Srednja klasa vozila,EURO 6,0.251067,0.000032,0.000001,0.252390,0.000766,0.0000139,0.0000000134,0.001186,0.209967,0.000018,0.000001,0.210871
Osobno vozilo,Benzin,Velika klasa i SUV vozila,PRE ECE do ECE 15/04,0.319581,0.000131,0.000008,0.325624,0.000999,0.0000181,0.0000000175,0.001545,0.271832,0.000113,0.000008,0.277330
Osobno vozilo,Benzin,Velika klasa i SUV vozila,EURO 1 i 2 i 3,0.302041,0.000044,0.000006,0.304902,0.000928,0.0000168,0.0000000162,0.001435,0.254363,0.000027,0.000006,0.256717
Osobno vozilo,Benzin,Velika klasa i SUV vozila,EURO 4,0.335514,0.000037,0.000002,0.337135,0.001049,0.0000190,0.0000000183,0.001623,0.287714,0.000018,0.000002,0.288762
Osobno vozilo,Benzin,Velika klasa i SUV vozila,EURO 5,0.334844,0.000037,0.000001,0.336331,0.001047,0.0000189,0.0000000183,0.001620,0.287047,0.000018,0.000001,0.287962
Osobno vozilo,Benzin,Velika klasa i SUV vozila,EURO 6,0.330469,0.000036,0.000001,0.331933,0.001032,0.0000187,0.0000000180,0.001596,0.282687,0.000018,0.000001,0.283587
Osobno vozilo,Benzin Hibrid,Mini klasa vozila,EURO 4 i 5,0.159532,0.000027,0.000002,0.160844,0.000461,0.00000833,0.00000000806,0.000713,0.126071,0.000018,0.000002,0.127131
Osobno vozilo,Benzin Hibrid,Mini klasa vozila,EURO 6,0.156592,0.000026,0.000002,0.157873,0.000451,0.00000816,0.00000000789,0.000698,0.123141,0.000018,0.000002,0.124175
Osobno vozilo,Benzin Hibrid,Mala klasa vozila,EURO 4,0.161771,0.000026,0.000002,0.163075,0.000469,0.00000848,0.00000000821,0.000726,0.128302,0.000018,0.000002,0.129349
Osobno vozilo,Benzin Hibrid,Mala klasa vozila,EURO 5,0.161672,0.000026,0.000002,0.162974,0.000469,0.00000848,0.00000000820,0.000725,0.128203,0.000018,0.000002,0.129249
Osobno vozilo,Benzin Hibrid,Mala klasa vozila,EURO 6,0.159741,0.000026,0.000002,0.161026,0.000463,0.00000837,0.00000000810,0.000716,0.126278,0.000018,0.000002,0.127309
Osobno vozilo,Benzin Hibrid,Srednja klasa vozila,EURO 4,0.161795,0.000026,0.000002,0.163098,0.000468,0.00000847,0.00000000819,0.000725,0.128327,0.000018,0.000002,0.129374
Osobno vozilo,Benzin Hibrid,Srednja klasa vozila,EURO 5,0.161737,0.000026,0.000002,0.163040,0.000468,0.00000847,0.00000000819,0.000724,0.128269,0.000018,0.000002,0.129315
Osobno vozilo,Benzin Hibrid,Srednja klasa vozila,EURO 6,0.160914,0.000026,0.000002,0.162209,0.000466,0.00000842,0.00000000814,0.000720,0.127449,0.000018,0.000002,0.128489
Osobno vozilo,Benzin Hibrid,Velika klasa i SUV vozila,EURO 4,0.167667,0.000027,0.000002,0.168983,0.000490,0.00000885,0.00000000856,0.000758,0.134178,0.000018,0.000002,0.135225
Osobno vozilo,Benzin Hibrid,Velika klasa i SUV vozila,EURO 5,0.167518,0.000027,0.000002,0.168832,0.000489,0.00000885,0.00000000855,0.000757,0.134029,0.000018,0.000002,0.135075
Osobno vozilo,Benzin Hibrid,Velika klasa i SUV vozila,EURO 6,0.166281,0.000027,0.000002,0.167583,0.000485,0.00000877,0.00000000848,0.000751,0.132796,0.000018,0.000002,0.133833
Osobno vozilo,Benzin PHEV Hibrid,Mala klasa vozila,EURO 6,0.144075,0.000021,0.000001,0.145062,0.000442,0.00000799,0.00000000772,0.000683,0.110633,0.000013,0.000001,0.111379
Osobno vozilo,Benzin PHEV Hibrid,Srednja klasa vozila,EURO 6,0.172162,0.000025,0.000001,0.173299,0.000558,0.0000101,0.00000000976,0.000863,0.138604,0.000015,0.000001,0.139436
Osobno vozilo,Benzin PHEV Hibrid,Velika klasa i SUV vozila,EURO 6,0.190804,0.000026,0.000001,0.191948,0.000633,0.0000114,0.0000000111,0.000979,0.157171,0.000014,0.000001,0.157969
Osobno vozilo,Dizel,Mini klasa vozila,EURO 4,0.138643,0.000007,0.000008,0.140868,0.000408,0.00000698,0.00000000435,0.000618,0.113485,0.000000,0.000008,0.115500
Osobno vozilo,Dizel,Mini klasa vozila,EURO 5,0.137781,0.000007,0.000007,0.139977,0.000405,0.00000693,0.00000000432,0.000614,0.112626,0.000000,0.000007,0.114613
Osobno vozilo,Dizel,Mini klasa vozila,EURO 6,0.136104,0.000007,0.000006,0.137923,0.000399,0.00000683,0.00000000426,0.000605,0.110955,0.000000,0.000006,0.112568
Osobno vozilo,Dizel,Mala klasa vozila,PRE ECE do ECE 15/04,0.194423,0.000012,0.000007,0.196762,0.000608,0.0000104,0.00000000649,0.000921,0.169065,0.000002,0.000007,0.171091
Osobno vozilo,Dizel,Mala klasa vozila,EURO 4,0.191112,0.000011,0.000008,0.193440,0.000596,0.0000102,0.00000000636,0.000903,0.165766,0.000000,0.000008,0.167786
Osobno vozilo,Dizel,Mala klasa vozila,EURO 5,0.190462,0.000010,0.000008,0.192768,0.000593,0.0000102,0.00000000634,0.000900,0.165118,0.000000,0.000008,0.167118
Osobno vozilo,Dizel,Mala klasa vozila,EURO 6,0.188394,0.000010,0.000006,0.190323,0.000586,0.0000100,0.00000000626,0.000889,0.163058,0.000000,0.000006,0.164685
Osobno vozilo,Dizel,Srednja klasa vozila,PRE ECE do ECE 15/04,0.200222,0.000015,0.000006,0.202220,0.000628,0.0000108,0.00000000671,0.000953,0.174844,0.000004,0.000006,0.176517
Osobno vozilo,Dizel,Srednja klasa vozila,EURO 4,0.192124,0.000011,0.000008,0.194466,0.000599,0.0000103,0.0000000064,0.000909,0.166775,0.000000,0.000008,0.168807
Osobno vozilo,Dizel,Srednja klasa vozila,EURO 5,0.189828,0.000010,0.000008,0.192125,0.000591,0.0000101,0.00000000631,0.000896,0.164487,0.000000,0.000008,0.166479
Osobno vozilo,Dizel,Srednja klasa vozila,EURO 6,0.185160,0.000010,0.000006,0.187052,0.000574,0.00000983,0.00000000613,0.000871,0.159836,0.000000,0.000006,0.161431
Osobno vozilo,Dizel,Velika klasa i SUV vozila,PRE ECE do ECE 15/04,0.267284,0.000019,0.000006,0.269377,0.000823,0.0000141,0.00000000879,0.001248,0.229060,0.000004,0.000006,0.230729
Osobno vozilo,Dizel,Velika klasa i SUV vozila,EURO 4,0.267933,0.000015,0.000008,0.270411,0.000826,0.0000141,0.00000000882,0.001252,0.229707,0.000000,0.000008,0.231759
Osobno vozilo,Dizel,Velika klasa i SUV vozila,EURO 5,0.264356,0.000014,0.000008,0.266783,0.000813,0.0000139,0.00000000868,0.001232,0.226143,0.000000,0.000008,0.228151
Osobno vozilo,Dizel,Velika klasa i SUV vozila,EURO 6,0.255916,0.000013,0.000006,0.257912,0.000782,0.0000134,0.00000000835,0.001186,0.217733,0.000000,0.000006,0.219326
Osobno vozilo,UNP (LPG),Mini klasa vozila,EURO 4,0.207807,0.000036,0.000004,0.209973,0.000962,0.0000134,0.0000000124,0.001368,0.173845,0.000023,0.000004,0.175605
Osobno vozilo,UNP (LPG),Mala klasa vozila,PRE ECE do ECE 15/04,0.208584,0.000042,0.000006,0.211567,0.000966,0.0000135,0.0000000124,0.001374,0.174617,0.000029,0.000006,0.177193
